+04086, +01018, +14860, -00129, +00706, -00617
+03690, +00733, +14770, -03714, +04381, +05646
+03293, +00533, +14641, -06105, +07472, +07369
+02944, +00260, +14644, -05463, +03126, +03181
+02677, +00036, +14592, -04790, +02631, +02368
+02374, -00283, +14670, -04230, +01908, +01407
+02103, -00695, +14816, -03921, +01828, +00419
+02166, -01258, +15027, -04045, +02284, -00613
+02177, -01808, +15266, -04320, +02801, -01411
+00545, -04042, +29940, -04451, +03239, -02005
-02540, -02669, +20139, -04427, +03065, -02682
-04230, -02503, +19956, -04235, +02469, -03049
-05520, -02547, +19530, -03631, +01566, -02940
-06106, -02660, +19388, -02672, +00522, -02977
-06651, -02255, +19587, -01945, -00825, -03095
-07038, -01644, +19936, -01704, -01914, -03286
-07236, -01161, +20174, -01621, -02750, -03726
-07536, -00662, +19975, -01430, -03212, -04491
-07814, +00092, +19685, -01320, -03544, -05216
-07537, +00621, +19574, -01446, -04011, -05981
-07047, +00718, +19531, -01607, -04385, -06760
-06635, +00813, +19344, -01801, -04626, -07419
-06157, +00779, +18897, -02033, -04928, -07876
-05927, +00735, +18392, -02044, -05295, -08340
-05690, +00558, +18535, -01908, -05920, -08956
-05401, +00221, +18569, -01780, -06600, -09524
-04912, -00163, +18493, -01681, -07307, -10241
-04624, -00289, +18145, -01477, -07969, -10779
-04406, -00293, +17860, -01415, -08246, -11063
-03885, -00211, +17834, -01619, -08378, -11247
-03535, -00129, +17659, -02082, -08125, -11340
-03106, -00443, +17467, -02549, -07478, -11215
-02565, -00714, +17324, -02929, -06812, -10785
-01862, -01146, +17138, -03394, -06312, -10275
-01041, -01543, +17147, -03866, -05608, -10081
-00190, -01523, +17429, -04629, -04595, -09992
+00556, -01393, +17647, -05535, -03203, -09656
+01272, -01264, +17836, -06312, -01446, -08808
+01773, -01067, +18032, -06677, +00434, -07352
+02369, -00944, +18311, -06396, +01687, -05886
